Land;Stimmentyp;Geschlecht;Geburtsjahresgruppe;Summe;Ungültig;CDU;SPD;AfD;FDP;DIE_LINKE;GRÜNE;CSU;Sonstige;dar_FREIE_WAEHLER;dar_BSW
NW;Zweitstimme;Summe;1991 – 2000;1419157;4700;224855;180883;262148;74183;259009;227724;;185653;10189;83509
NW;Zweitstimme;Summe;1981 – 1990;1525636;6238;363861;204980;354139;68525;127906;224503;;175484;11588;84659
NW;Zweitstimme;Summe;1966 – 1980;2526524;11456;781088;433517;525612;105496;138272;327005;;204078;15390;110443
NW;Zweitstimme;Summe;1956 – 1965;2074321;13243;685203;510819;338944;73575;83521;255981;;113034;8332;67666
NW;Zweitstimme;Summe;1955 und früher;2288191;23826;1014270;677978;176217;97728;55469;173530;;69173;4070;42079
NW;Zweitstimme;m;Summe;5142343;25186;1577365;939353;1061958;254202;355256;567432;;361591;24547;189908
NW;Zweitstimme;m;2001 – 2007;373924;1235;61659;50018;77920;28812;67172;41296;;45812;2171;22075
NW;Zweitstimme;m;1991 – 2000;708236;2320;124665;83271;163692;45067;101507;103844;;83870;5013;37093
NW;Zweitstimme;m;1981 – 1990;765105;2893;186462;89277;213814;39288;56190;102206;;74975;4908;36517
NW;Zweitstimme;m;1966 – 1980;1253329;4025;405255;193703;311989;55174;57780;141634;;83769;6879;46576
NW;Zweitstimme;m;1956 – 1965;1024738;5893;348800;235208;198614;39297;43298;108679;;44949;4214;27728
NW;Zweitstimme;m;1955 und früher;1017011;8822;450524;287875;95928;46563;29310;69773;;28216;1363;19918
NW;Zweitstimme;w;Summe;5445397;36420;1593262;1169081;708421;208244;521867;733469;;474633;28344;243003
NW;Zweitstimme;w;2001 – 2007;379987;908;39690;50238;35398;14126;145774;50862;;42990;1151;22479
NW;Zweitstimme;w;1991 – 2000;710921;2381;100190;97612;98457;29116;157502;123880;;101783;5176;46416
NW;Zweitstimme;w;1981 – 1990;760531;3345;177399;115703;140325;29237;71716;122297;;100509;6680;48143
NW;Zweitstimme;w;1966 – 1980;1273195;7431;375833;239814;213622;50322;80493;185371;;120308;8511;63866
NW;Zweitstimme;w;1956 – 1965;1049584;7350;336404;275611;140330;34278;40223;147302;;68086;4118;39938
NW;Zweitstimme;w;1955 und früher;1271180;15004;563746;390102;80289;51165;26159;103756;;40957;2707;22161
HE;Erststimme;Summe;Summe;3608634;35802;1154330;843094;633669;128781;256907;411127;;144924;80795;
HE;Erststimme;Summe;2001 – 2007;256938;2359;45216;61936;40015;13805;51616;29738;;12252;5105;
HE;Erststimme;Summe;1991 – 2000;433385;4311;82591;89330;79365;21771;63265;63486;;29265;13868;
HE;Erststimme;Summe;1981 – 1990;506740;4326;134681;93555;115389;17112;41824;70562;;29292;15350;
HE;Erststimme;Summe;1966 – 1980;907996;7276;298499;176174;198769;29957;50163;107530;;39629;23760;
HE;Erststimme;Summe;1956 – 1965;706431;7581;235236;183833;124807;18555;29944;84308;;22168;14540;
HE;Erststimme;Summe;1955 und früher;797145;9949;358107;238267;75324;27582;20095;55503;;12318;8172;
HE;Erststimme;m;Summe;1759172;16298;572859;378627;374151;65766;103851;180078;;67541;35224;
HE;Erststimme;m;2001 – 2007;129669;1516;27001;28038;26286;8652;18075;13335;;6765;2727;
HE;Erststimme;m;1991 – 2000;218149;1894;44921;40371;50053;12282;25097;28141;;15391;7450;
HE;Erststimme;m;1981 – 1990;251383;1649;68935;41199;67871;8242;17916;32262;;13308;6706;
HE;Erststimme;m;1966 – 1980;452512;3058;153361;79763;118567;14422;19072;47051;;17219;9393;
HE;Erststimme;m;1956 – 1965;346783;3505;118487;84442;71995;8627;13842;36007;;9877;6273;
HE;Erststimme;m;1955 und früher;360676;4676;160155;104814;39379;13541;9848;23283;;4980;2675;
HE;Erststimme;w;Summe;1849462;19504;581471;464467;259518;63015;153056;231049;;77383;45571;
HE;Erststimme;w;2001 – 2007;127269;843;18215;33898;13729;5153;33540;16404;;5487;2378;
HE;Erststimme;w;1991 – 2000;215236;2417;37670;48959;29313;9489;38168;35345;;13874;6418;
HE;Erststimme;w;1981 – 1990;255357;2676;65747;52356;47517;8869;23908;38300;;15984;8644;
HE;Erststimme;w;1966 – 1980;455484;4218;145138;96411;80201;15535;31091;60479;;22410;14367;
HE;Erststimme;w;1956 – 1965;359648;4076;116749;99391;52812;9928;16101;48301;;12291;8266;
HE;Erststimme;w;1955 und früher;436469;5273;197952;133452;35946;14041;10248;32220;;7337;5497;
HE;Zweitstimme;Summe;Summe;3608634;27800;1033842;657510;636778;180823;311058;451510;;309313;46567;158653
HE;Zweitstimme;Summe;2001 – 2007;256938;2130;35302;31847;40540;17570;74361;25983;;29204;2993;14840
HE;Zweitstimme;Summe;1991 – 2000;433385;2214;68364;53535;78591;24438;80822;61501;;63919;6646;29468
HE;Zweitstimme;Summe;1981 – 1990;506740;3073;116084;66156;117892;21042;44744;76042;;61705;8890;31508
HE;Zweitstimme;Summe;1966 – 1980;907996;5698;265842;137406;200350;43365;53028;123456;;78851;13812;39665
HE;Zweitstimme;Summe;1956 – 1965;706431;5400;216346;152277;124349;29141;34282;98219;;46419;8768;27133
HE;Zweitstimme;Summe;1955 und früher;797145;9285;331903;216288;75056;45268;23820;66309;;29215;5458;16039
HE;Zweitstimme;m;Summe;1759172;12702;510684;292737;381271;99555;124170;201705;;136348;20664;72091
HE;Zweitstimme;m;2001 – 2007;129669;1463;20597;16005;27820;11409;24517;12702;;15157;1747;7391
HE;Zweitstimme;m;1991 – 2000;218149;1210;37144;24696;49982;15326;30827;27883;;31082;3332;14029
HE;Zweitstimme;m;1981 – 1990;251383;1213;58710;28149;70884;11126;19089;35452;;26760;4030;14328
HE;Zweitstimme;m;1966 – 1980;452512;2429;136564;60574;121150;23006;21265;55146;;32379;6180;16684
HE;Zweitstimme;m;1956 – 1965;346783;2438;110056;69515;71718;15287;16181;43034;;18553;3505;11581
HE;Zweitstimme;m;1955 und früher;360676;3950;147612;93797;39718;23402;12292;27488;;12416;1871;8078
HE;Zweitstimme;w;Summe;1849462;15098;523158;364773;255507;81268;186888;249805;;172965;25903;86562
HE;Zweitstimme;w;2001 – 2007;127269;668;14706;15842;12720;6161;49844;13282;;14047;1246;7449
HE;Zweitstimme;w;1991 – 2000;215236;1004;31220;28839;28610;9112;49996;33618;;32837;3314;15439
HE;Zweitstimme;w;1981 – 1990;255357;1861;57375;38007;47008;9917;25655;40590;;34945;4860;17179
HE;Zweitstimme;w;1966 – 1980;455484;3270;129277;76833;79200;20359;31763;68310;;46472;7632;22981
HE;Zweitstimme;w;1956 – 1965;359648;2961;106290;82762;52630;13854;18101;55184;;27866;5263;15553
HE;Zweitstimme;w;1955 und früher;436469;5334;184291;122491;35338;21866;11529;38820;;16799;3587;7961
RP;Erststimme;Summe;Summe;2500548;27497;831611;573461;476014;83327;123638;204080;;180920;80572;54639
RP;Erststimme;Summe;2001 – 2007;166498;1611;29762;40367;28260;7275;26452;16663;;16107;5308;5401
RP;Erststimme;Summe;1991 – 2000;313683;1798;66395;61220;68131;14837;31662;36571;;33070;13111;8768
RP;Erststimme;Summe;1981 – 1990;362677;2897;100605;63983;94259;11147;19458;36659;;33671;15076;9028
RP;Erststimme;Summe;1966 – 1980;595046;5608;197696;117260;136234;17461;21589;49575;;49623;24552;14578
RP;Erststimme;Summe;1956 – 1965;516805;5242;182734;133021;97164;15100;14187;39266;;30090;13733;10070
RP;Erststimme;Summe;1955 und früher;545838;10341;254419;157609;51966;17508;10290;25346;;18360;8792;6794
RP;Erststimme;m;Summe;1240565;12789;417277;263160;287072;44167;51241;84999;;79859;36609;24166
RP;Erststimme;m;2001 – 2007;85406;925;17156;18920;19407;5087;8911;6689;;8312;2731;2921
RP;Erststimme;m;1991 – 2000;161048;1139;35839;27928;41972;9757;13821;14686;;15905;6601;4417
RP;Erststimme;m;1981 – 1990;189457;1305;52024;30895;57910;6092;8725;17008;;15498;7623;3918
RP;Erststimme;m;1966 – 1980;297477;2368;101045;54329;81429;8471;8567;20664;;20604;11101;5625
RP;Erststimme;m;1956 – 1965;256421;2655;94520;60976;57144;6602;6380;15739;;12405;5314;4275
RP;Erststimme;m;1955 und früher;250756;4398;116693;70112;29210;8158;4837;10213;;7135;3239;3011
RP;Erststimme;w;Summe;1259983;14708;414334;310301;188942;39160;72397;119081;;101061;43963;30473
RP;Erststimme;w;2001 – 2007;81092;687;12606;21447;8853;2189;17542;9974;;7795;2577;2480
RP;Erststimme;w;1991 – 2000;152635;659;30556;33292;26159;5080;17841;21885;;17165;6511;4351
RP;Erststimme;w;1981 – 1990;173221;1592;48581;33089;36349;5054;10733;19651;;18173;7453;5110
RP;Erststimme;w;1966 – 1980;297570;3241;96651;62931;54805;8990;13022;28911;;29019;13452;8953
RP;Erststimme;w;1956 – 1965;260384;2587;88214;72045;40020;8498;7807;23528;;17685;8419;5796
RP;Erststimme;w;1955 und früher;295082;5943;137726;87497;22756;9349;5453;15133;;11225;5552;3783
RP;Zweitstimme;Summe;Summe;2500548;18190;760623;462705;498695;114047;161867;256869;;227552;52013;105103
RP;Zweitstimme;Summe;2001 – 2007;166498;1477;23310;21519;30194;10345;41697;18157;;19798;2390;9012
RP;Zweitstimme;Summe;1991 – 2000;313683;1033;53508;37915;71635;18518;44940;42681;;43453;8734;17261
RP;Zweitstimme;Summe;1981 – 1990;362677;2080;88740;44096;100731;15768;21936;45968;;43359;9693;18863
RP;Zweitstimme;Summe;1966 – 1980;595046;3529;182134;93899;142678;24144;25065;64630;;58967;14630;28419
RP;Zweitstimme;Summe;1956 – 1965;516805;3153;168846;116566;99430;20198;17028;52558;;39025;9770;20076
RP;Zweitstimme;Summe;1955 und früher;545838;6918;244085;148710;54026;25074;11200;32874;;22951;6796;11472
RP;Zweitstimme;m;Summe;1240565;7245;382645;209575;303587;63302;64325;112065;;97820;24356;46048
RP;Zweitstimme;m;2001 – 2007;85406;1004;14458;11154;20567;6974;13012;7893;;10344;1286;4344
RP;Zweitstimme;m;1991 – 2000;161048;598;27451;17846;45380;12519;17520;18915;;20820;4795;8148
RP;Zweitstimme;m;1981 – 1990;189457;987;46558;20546;62455;8655;10394;20775;;19088;5079;8006
RP;Zweitstimme;m;1966 – 1980;297477;878;93323;42889;85626;12326;10055;29014;;23365;6636;11865
RP;Zweitstimme;m;1956 – 1965;256421;1509;88072;52516;59258;10374;7810;21780;;15102;4156;8377
RP;Zweitstimme;m;1955 und früher;250756;2270;112784;64624;30302;12455;5534;13688;;9100;2404;5308
RP;Zweitstimme;w;Summe;1259983;10945;377978;253130;195108;50745;97542;144804;;129732;27657;59055
RP;Zweitstimme;w;2001 – 2007;81092;474;8852;10365;9627;3371;28685;10264;;9454;1103;4668
RP;Zweitstimme;w;1991 – 2000;152635;435;26057;20069;26256;5999;27420;23766;;22633;3939;9113
RP;Zweitstimme;w;1981 – 1990;173221;1094;42182;23549;38276;7113;11543;25193;;24271;4614;10858
RP;Zweitstimme;w;1966 – 1980;297570;2650;88811;51010;57052;11818;15010;35616;;35601;7994;16554
RP;Zweitstimme;w;1956 – 1965;260384;1645;80774;64050;40173;9824;9218;30778;;23923;5615;11699
RP;Zweitstimme;w;1955 und früher;295082;4648;131301;84086;23724;12620;5666;19186;;13851;4392;6163
BW;Erststimme;Summe;Summe;6382446;49732;2280707;1002327;1231221;271794;360037;887608;;299020;163869;
BW;Erststimme;Summe;2001 – 2007;485790;2941;96370;79492;84152;27124;79805;86129;;29777;12594;
BW;Erststimme;Summe;1991 – 2000;859996;4571;205789;113496;166813;46644;91391;164781;;66510;28258;
BW;Erststimme;Summe;1981 – 1990;944662;4623;295045;111894;233677;40659;56060;146572;;56132;30970;
BW;Erststimme;Summe;1966 – 1980;1507721;8826;540024;193327;363199;55576;64410;205614;;76745;46634;
BW;Erststimme;Summe;1956 – 1965;1239842;10461;474711;218253;243275;43089;41710;163850;;44492;28600;
BW;Erststimme;Summe;1955 und früher;1344435;18310;668768;285864;140106;58701;26662;120661;;25363;16812;
BW;Erststimme;m;Summe;3129180;23129;1126853;444035;724016;139726;147720;388373;;135330;72341;
BW;Erststimme;m;2001 – 2007;247190;1825;56870;34637;57114;17513;27086;36076;;16070;6822;
BW;Erststimme;m;1991 – 2000;438504;2660;107636;51913;103815;27209;38210;73598;;33463;14101;
BW;Erststimme;m;1981 – 1990;478740;2659;147362;49509;142065;21888;24455;65199;;25604;13996;
BW;Erststimme;m;1966 – 1980;746552;4186;273174;85807;207964;26468;25899;91834;;31219;19095;
BW;Erststimme;m;1956 – 1965;612264;4500;240477;98616;139003;19635;18719;72104;;19210;12270;
BW;Erststimme;m;1955 und früher;605930;7299;301334;123554;74055;27011;13352;49562;;9764;6056;
BW;Erststimme;w;Summe;3253266;26603;1153854;558292;507205;132068;212317;499235;;163690;91528;
BW;Erststimme;w;2001 – 2007;238600;1116;39500;44855;27038;9611;52719;50054;;13708;5772;
BW;Erststimme;w;1991 – 2000;421492;1911;98153;61583;62998;19435;53182;91184;;33047;14157;
BW;Erststimme;w;1981 – 1990;465922;1964;147684;62385;91612;18771;31605;81373;;30528;16974;
BW;Erststimme;w;1966 – 1980;761169;4640;266850;107521;155234;29108;38511;113780;;45527;27539;
BW;Erststimme;w;1956 – 1965;627578;5961;234234;119638;104272;23454;22991;91746;;25282;16330;
BW;Erststimme;w;1955 und früher;738505;11012;367434;162310;66051;31690;13310;71099;;15599;10756;
BW;Zweitstimme;Summe;Summe;6382446;32448;2006866;898778;1256430;357539;429484;865738;;535163;86311;260219
BW;Zweitstimme;Summe;2001 – 2007;485790;1110;71169;54579;88117;32567;113195;68653;;56400;5835;27092
BW;Zweitstimme;Summe;1991 – 2000;859996;2358;163325;87542;173637;55888;116221;149213;;111813;15797;46321
BW;Zweitstimme;Summe;1981 – 1990;944662;2696;251795;95496;241287;49835;60239;145952;;97362;15474;45078
BW;Zweitstimme;Summe;1966 – 1980;1507721;4949;474320;176543;370926;74032;66998;208421;;131534;22991;66479
BW;Zweitstimme;Summe;1956 – 1965;1239842;6244;429762;206199;243106;59113;42939;166751;;85727;15822;46823
BW;Zweitstimme;Summe;1955 und früher;1344435;15092;616495;278420;139357;86103;29892;126748;;52327;10391;28425
BW;Zweitstimme;m;Summe;3129180;14241;991394;395672;750163;193121;171459;384883;;228248;38832;109119
BW;Zweitstimme;m;2001 – 2007;247190;688;41627;26094;60611;21795;35529;32809;;28038;3389;12770
BW;Zweitstimme;m;1991 – 2000;438504;1370;86559;38669;109846;34603;46476;69444;;51537;7659;19946
BW;Zweitstimme;m;1981 – 1990;478740;1519;127129;41672;148035;27843;26846;64619;;41079;7548;17977
BW;Zweitstimme;m;1966 – 1980;746552;2185;242342;77633;215795;36648;26902;92988;;52059;10351;26060
BW;Zweitstimme;m;1956 – 1965;612264;3023;216942;92391;141541;29502;20358;73899;;34608;6295;19528
BW;Zweitstimme;m;1955 und früher;605930;5457;276796;119214;74334;42731;15349;51123;;20926;3590;12838
BW;Zweitstimme;w;Summe;3253266;18207;1015472;503106;506267;164418;258025;480855;;306915;47479;151100
BW;Zweitstimme;w;2001 – 2007;238600;422;29542;28485;27506;10772;77666;35844;;28363;2446;14322
BW;Zweitstimme;w;1991 – 2000;421492;987;76766;48873;63791;21285;69745;79768;;60276;8138;26375
BW;Zweitstimme;w;1981 – 1990;465922;1177;124666;53824;93253;21993;33393;81333;;56282;7927;27101
BW;Zweitstimme;w;1966 – 1980;761169;2764;231978;98910;155130;37384;40096;115432;;79474;12640;40419
BW;Zweitstimme;w;1956 – 1965;627578;3221;212820;113808;101564;29612;22581;92852;;51119;9527;27295
BW;Zweitstimme;w;1955 und früher;738505;9635;339699;159206;65023;43373;14544;75624;;31401;6802;15587
BY;Erststimme;Summe;Summe;7996557;47357;;1016841;1384631;246700;366149;969735;3272064;693080;461198;19929
BY;Erststimme;Summe;2001 – 2007;547884;1704;;74599;88318;24855;84045;85095;133099;56170;30916;1764
BY;Erststimme;Summe;1991 – 2000;1093151;4254;;122727;208528;46097;100114;197258;291474;122701;73612;3683
BY;Erststimme;Summe;1981 – 1990;1237659;5487;;127864;270675;36972;58173;188156;423985;126347;79426;3679
BY;Erststimme;Summe;1966 – 1980;1970092;9653;;203991;422684;51970;64052;232211;803858;181672;123106;4858
BY;Erststimme;Summe;1956 – 1965;1537890;10946;;212237;258334;39838;37562;161180;695879;121915;88056;3681
BY;Erststimme;Summe;1955 und früher;1609881;15314;;275423;136092;46969;22204;105834;923769;84276;66083;2263
BY;Erststimme;m;Summe;3974444;23568;;463485;819166;132992;150110;444036;1616071;325016;218931;8183
BY;Erststimme;m;2001 – 2007;284787;841;;33959;58155;16833;28096;37463;79313;30126;16965;793
BY;Erststimme;m;1991 – 2000;559863;2073;;57010;127594;27214;40919;92229;152936;59888;36718;1661
BY;Erststimme;m;1981 – 1990;633476;2958;;59565;162351;19831;25757;87637;215907;59471;37794;1454
BY;Erststimme;m;1966 – 1980;988803;4637;;92077;249116;26149;25449;105097;406728;79550;53954;1824
BY;Erststimme;m;1956 – 1965;770092;5805;;99616;149893;19985;18408;72763;345384;58238;43527;1588
BY;Erststimme;m;1955 und früher;737424;7255;;121258;72056;22980;11480;48847;415803;37744;29973;864
BY;Erststimme;w;Summe;4022113;23789;;553356;565465;113708;216039;525699;1655993;368064;242267;11746
BY;Erststimme;w;2001 – 2007;263097;863;;40639;30163;8022;55948;47631;53787;26044;13952;971
BY;Erststimme;w;1991 – 2000;533288;2181;;65717;80934;18882;59194;105029;138537;62813;36894;2023
BY;Erststimme;w;1981 – 1990;604183;2529;;68299;108324;17140;32416;100520;208078;66876;41632;2226
BY;Erststimme;w;1966 – 1980;981289;5016;;111914;173568;25821;38603;127114;397130;102122;69152;3035
BY;Erststimme;w;1956 – 1965;767798;5141;;112621;108440;19853;19154;88417;350495;63677;44528;2093
BY;Erststimme;w;1955 und früher;872457;8058;;154165;64036;23989;10724;56987;507966;46532;36109;1398
BY;Zweitstimme;Summe;Summe;7996557;24503;;920675;1515731;333257;456935;957435;2964028;823993;345840;246518
BY;Zweitstimme;Summe;2001 – 2007;547884;759;;53855;99040;30600;117525;72036;100800;73268;20718;23399
BY;Zweitstimme;Summe;1991 – 2000;1093151;1179;;99233;232185;54589;132114;178280;240777;154794;51190;44450
BY;Zweitstimme;Summe;1981 – 1990;1237659;1732;;109288;298700;46869;69699;187163;375619;148589;53372;46700
BY;Zweitstimme;Summe;1966 – 1980;1970092;2967;;190948;463558;74204;69988;240113;725257;203056;88187;62486
BY;Zweitstimme;Summe;1956 – 1965;1537890;6120;;201561;276853;58714;40138;167531;649876;137097;67466;41881
BY;Zweitstimme;Summe;1955 und früher;1609881;11746;;265790;145394;68281;27471;112312;871699;107189;64907;27602
BY;Zweitstimme;m;Summe;3974444;11879;;419098;907166;185665;185186;445514;1461963;357973;152933;105537
BY;Zweitstimme;m;2001 – 2007;284787;387;;26059;67291;20890;38553;34608;60259;36740;10865;11118
BY;Zweitstimme;m;1991 – 2000;559863;495;;46998;143987;34115;53921;86037;124629;69680;23886;17974
BY;Zweitstimme;m;1981 – 1990;633476;979;;49128;181181;27026;31402;88913;191672;63175;23078;18558
BY;Zweitstimme;m;1966 – 1980;988803;1340;;86850;275759;37822;27608;108513;368555;82356;36587;25693
BY;Zweitstimme;m;1956 – 1965;770092;2984;;94522;162656;30729;19114;76690;323330;60067;30663;19136
BY;Zweitstimme;m;1955 und früher;737424;5694;;115540;76290;35083;14588;50753;393519;45955;27855;13059
BY;Zweitstimme;w;Summe;4022113;12624;;501577;608565;147592;271749;511921;1502065;466020;192907;140981
BY;Zweitstimme;w;2001 – 2007;263097;373;;27796;31749;9710;78973;37428;40541;36528;9853;12281
BY;Zweitstimme;w;1991 – 2000;533288;683;;52235;88198;20473;78193;92243;116148;85114;27304;26477
BY;Zweitstimme;w;1981 – 1990;604183;754;;60160;117519;19843;38297;98251;183947;85414;30295;28142
BY;Zweitstimme;w;1966 – 1980;981289;1627;;104098;187799;36383;42380;131600;356703;120700;51601;36793
BY;Zweitstimme;w;1956 – 1965;767798;3136;;107039;114197;27985;21024;90841;326546;77030;36802;22745
BY;Zweitstimme;w;1955 und früher;872457;6051;;150249;69104;33198;12883;61559;478180;61234;37052;14543
SL;Erststimme;Summe;Summe;605293;8051;177003;178745;129177;20611;41215;30477;;20014;19458;
SL;Erststimme;Summe;2001 – 2007;37116;461;5505;11215;7858;1784;7296;2038;;958;936;
SL;Erststimme;Summe;1991 – 2000;71001;699;11968;19847;17553;3214;9656;4827;;3236;3119;
SL;Erststimme;Summe;1981 – 1990;86184;913;19022;20809;27086;2667;6636;5580;;3470;3397;
SL;Erststimme;Summe;1966 – 1980;135057;1326;38365;33778;36766;4451;8000;6311;;6060;5896;
SL;Erststimme;Summe;1956 – 1965;129323;2000;39077;42554;25191;3777;5358;7581;;3785;3647;
SL;Erststimme;Summe;1955 und früher;146612;2653;63065;50542;14723;4718;4268;4140;;2505;2463;
SL;Erststimme;m;Summe;297750;3805;86686;81550;74251;10464;18286;13915;;8793;8522;
SL;Erststimme;m;2001 – 2007;19008;253;3125;5749;4665;1115;2704;777;;620;598;
SL;Erststimme;m;1991 – 2000;36362;252;6019;9532;10467;1886;4265;2323;;1618;1570;
SL;Erststimme;m;1981 – 1990;44992;377;9780;9878;16010;1177;3355;2859;;1558;1516;
SL;Erststimme;m;1966 – 1980;66000;710;19202;14899;20831;2074;3054;2787;;2442;2358;
SL;Erststimme;m;1956 – 1965;63998;1001;20057;19327;14411;1941;2587;3331;;1342;1303;
SL;Erststimme;m;1955 und früher;67390;1211;28504;22165;7867;2271;2320;1839;;1213;1177;
SL;Erststimme;w;Summe;307543;4246;90317;97195;54926;10147;22929;16562;;11221;10936;
SL;Erststimme;w;2001 – 2007;18108;208;2381;5466;3193;670;4592;1261;;338;338;
SL;Erststimme;w;1991 – 2000;34639;447;5949;10316;7085;1329;5391;2504;;1618;1549;
SL;Erststimme;w;1981 – 1990;41191;536;9243;10931;11077;1490;3282;2721;;1912;1881;
SL;Erststimme;w;1966 – 1980;69057;616;19163;18879;15935;2376;4946;3524;;3618;3539;
SL;Erststimme;w;1956 – 1965;65326;998;19020;23226;10780;1836;2771;4250;;2444;2344;
SL;Erststimme;w;1955 und früher;79223;1442;34561;28377;6856;2446;1948;2301;;1292;1285;
SL;Zweitstimme;Summe;Summe;605293;5570;161113;131136;129294;25725;44080;43371;;65004;8476;37001
SL;Zweitstimme;Summe;2001 – 2007;37116;287;3928;5069;8077;2109;9141;3149;;5355;204;3172
SL;Zweitstimme;Summe;1991 – 2000;71001;617;9413;10321;18099;3646;11158;6950;;10797;1287;5275
SL;Zweitstimme;Summe;1981 – 1990;86184;613;16475;13532;26870;3072;7066;7618;;10939;1825;5429
SL;Zweitstimme;Summe;1966 – 1980;135057;823;33907;23535;37121;5670;7725;9550;;16727;2667;9334
SL;Zweitstimme;Summe;1956 – 1965;129323;1215;37074;33865;24913;4843;4957;9546;;12910;1498;8497
SL;Zweitstimme;Summe;1955 und früher;146612;2016;60318;44813;14214;6385;4033;6558;;8277;994;5294
SL;Zweitstimme;m;Summe;297750;2457;78552;59742;76154;14164;18695;21400;;26586;3960;15314
SL;Zweitstimme;m;2001 – 2007;19008;120;2218;2400;5008;1590;3286;1582;;2802;149;1468
SL;Zweitstimme;m;1991 – 2000;36362;227;4965;5026;10932;2238;4499;3712;;4763;866;2237
SL;Zweitstimme;m;1981 – 1990;44992;267;8566;6627;16085;1596;3239;3822;;4790;855;2247
SL;Zweitstimme;m;1966 – 1980;66000;468;17221;10225;21758;2725;3031;4589;;5983;1054;3571
SL;Zweitstimme;m;1956 – 1965;63998;553;18622;15604;14474;2629;2505;4506;;5104;508;3658
SL;Zweitstimme;m;1955 und früher;67390;822;26959;19860;7897;3386;2134;3188;;3143;527;2133
SL;Zweitstimme;w;Summe;307543;3113;82561;71394;53140;11561;25385;21971;;38418;4516;21687
SL;Zweitstimme;w;2001 – 2007;18108;167;1709;2669;3069;519;5855;1567;;2553;55;1704
SL;Zweitstimme;w;1991 – 2000;34639;389;4448;5295;7167;1408;6660;3238;;6034;421;3038
SL;Zweitstimme;w;1981 – 1990;41191;346;7908;6905;10784;1476;3826;3796;;6149;970;3182
SL;Zweitstimme;w;1966 – 1980;69057;355;16685;13310;15363;2945;4694;4961;;10744;1613;5763
SL;Zweitstimme;w;1956 – 1965;65326;662;18452;18261;10439;2214;2451;5040;;7806;990;4839
SL;Zweitstimme;w;1955 und früher;79223;1194;33358;24953;6317;2999;1898;3370;;5134;467;3161
BE;Erststimme;Summe;Summe;1961177;18539;413893;326663;294546;52575;423549;338231;;93181;9141;41787
BE;Erststimme;Summe;2001 – 2007;130291;1006;12731;18929;12037;4438;51449;24168;;5533;428;1655
BE;Erststimme;Summe;1991 – 2000;260774;1461;29015;32436;25502;8786;90333;60237;;13003;1052;3772
BE;Erststimme;Summe;1981 – 1990;346108;1916;52969;43934;52076;9700;88395;78305;;18812;2137;6703
BE;Erststimme;Summe;1966 – 1980;476458;4489;99295;70397;86132;12027;84331;97769;;22020;2163;8414
BE;Erststimme;Summe;1956 – 1965;338668;3774;85133;61218;70311;7014;49557;45234;;16427;1995;9289
