Land;Stimmentyp;Geschlecht;Geburtsjahresgruppe;Summe;Ungültig;CDU;SPD;AfD;FDP;DIE_LINKE;GRÜNE;CSU;Sonstige;dar_FREIE_WAEHLER;dar_BSW
BE;Erststimme;Summe;1955 und früher;408878;5893;134750;99749;48488;10611;59484;32518;;17386;1366;11954
BE;Erststimme;m;Summe;933433;7910;201872;144816;169572;27595;189305;151481;;40882;4202;18441
BE;Erststimme;m;2001 – 2007;63182;354;7714;9301;8242;2876;22181;10256;;2257;256;855
BE;Erststimme;m;1991 – 2000;124165;688;15941;15739;15353;5010;39617;25126;;6691;459;2077
BE;Erststimme;m;1981 – 1990;172264;704;27947;20657;30277;5436;42217;36535;;8491;1076;2550
BE;Erststimme;m;1966 – 1980;234038;1703;51703;31738;49439;5822;37948;46311;;9376;1178;3288
BE;Erststimme;m;1956 – 1965;164789;2016;40522;27693;40450;3508;23359;20560;;6683;838;4011
BE;Erststimme;m;1955 und früher;174995;2444;58046;39689;25811;4944;23983;12694;;7384;395;5660
BE;Erststimme;w;Summe;1027744;10629;212021;181847;124974;24980;234244;186750;;52299;4939;23346
BE;Erststimme;w;2001 – 2007;67108;652;5017;9628;3795;1562;29268;13912;;3276;172;800
BE;Erststimme;w;1991 – 2000;136609;773;13074;16697;10150;3776;50717;35111;;6312;593;1695
BE;Erststimme;w;1981 – 1990;173844;1212;25022;23277;21800;4265;46178;41770;;10321;1061;4153
BE;Erststimme;w;1966 – 1980;242420;2786;47592;38659;36692;6205;46383;51458;;12644;985;5126
BE;Erststimme;w;1956 – 1965;173878;1758;44611;33525;29861;3506;26199;24674;;9744;1157;5277
BE;Erststimme;w;1955 und früher;233884;3448;76704;60061;22677;5667;35500;19824;;10003;971;6294
BE;Zweitstimme;Summe;Summe;1961177;11644;356099;295182;296990;74076;387222;328035;;211929;6402;129651
BE;Zweitstimme;Summe;2001 – 2007;130291;548;9192;11931;12110;5716;56551;18555;;15688;332;7896
BE;Zweitstimme;Summe;1991 – 2000;260774;790;22303;23601;25892;11512;93094;51792;;31790;975;15131
BE;Zweitstimme;Summe;1981 – 1990;346108;1149;43489;38191;53424;12034;76399;79583;;41840;1214;20415
BE;Zweitstimme;Summe;1966 – 1980;476458;2475;88440;64422;84975;18090;69883;97473;;50700;1745;31954
BE;Zweitstimme;Summe;1956 – 1965;338668;2459;73117;58478;70765;10764;41589;47120;;34375;985;24893
BE;Zweitstimme;Summe;1955 und früher;408878;4223;119558;98560;49824;15959;49707;33513;;37536;1152;29362
BE;Zweitstimme;m;Summe;933433;5254;175689;129867;172737;41150;163500;151772;;93465;2932;58533
BE;Zweitstimme;m;2001 – 2007;63182;236;5871;6162;8577;3329;21438;9666;;7903;220;4314
BE;Zweitstimme;m;1991 – 2000;124165;470;11647;11587;15931;7015;37495;23727;;16292;455;7979
BE;Zweitstimme;m;1981 – 1990;172264;435;23546;18427;31241;7138;35879;37038;;18560;614;8797
BE;Zweitstimme;m;1966 – 1980;234038;887;47029;29572;49296;9824;30544;45749;;21137;790;13447
BE;Zweitstimme;m;1956 – 1965;164789;1357;35707;25960;40817;5749;19219;21698;;14283;427;10605
BE;Zweitstimme;m;1955 und früher;174995;1868;51888;38158;26876;8096;18925;13894;;15290;426;13390
BE;Zweitstimme;w;Summe;1027744;6390;180410;165315;124253;32926;223722;176263;;118464;3470;71118
BE;Zweitstimme;w;2001 – 2007;67108;312;3320;5768;3533;2388;35113;8889;;7784;111;3582
BE;Zweitstimme;w;1991 – 2000;136609;320;10656;12013;9960;4497;55599;28065;;15499;520;7152
BE;Zweitstimme;w;1981 – 1990;173844;714;19943;19764;22183;4897;40519;42545;;23280;601;11618
BE;Zweitstimme;w;1966 – 1980;242420;1588;41411;34850;35679;8266;39339;51724;;29563;954;18507
BE;Zweitstimme;w;1956 – 1965;173878;1102;37411;32518;29949;5016;22370;25421;;20092;558;14287
BE;Zweitstimme;w;1955 und früher;233884;2355;67670;60402;22948;7863;30781;19619;;22246;726;15973
BB;Erststimme;Summe;Summe;1658681;16488;332331;337040;565718;44451;189182;86006;;87465;53057;
BB;Erststimme;Summe;2001 – 2007;90369;864;9913;15251;30010;2496;19299;6017;;6519;3075;
BB;Erststimme;Summe;1991 – 2000;132167;1052;17664;20513;45530;4257;19906;13624;;9622;4405;
BB;Erststimme;Summe;1981 – 1990;284155;2815;46655;39436;124177;7815;22765;21365;;19127;10352;
BB;Erststimme;Summe;1966 – 1980;422849;2426;84999;66897;172101;10505;37761;22843;;25318;16894;
BB;Erststimme;Summe;1956 – 1965;338838;2498;79391;70393;116248;9785;34119;11570;;14835;10444;
BB;Erststimme;Summe;1955 und früher;390302;6834;93711;124550;77650;9594;55331;10587;;12044;7887;
BB;Erststimme;m;Summe;793979;7408;158139;139364;316129;21101;76605;38439;;36794;21275;
BB;Erststimme;m;2001 – 2007;44038;151;5127;5915;18928;1436;6796;2466;;3218;1363;
BB;Erststimme;m;1991 – 2000;63687;571;8548;8215;25624;2231;8727;4994;;4777;1864;
BB;Erststimme;m;1981 – 1990;138802;1221;23798;16404;66253;3574;9705;9629;;8218;4518;
BB;Erststimme;m;1966 – 1980;214665;793;42919;30381;99111;4369;15241;11178;;10673;6724;
BB;Erststimme;m;1956 – 1965;166345;947;37615;32190;65348;5139;13334;5723;;6049;4487;
BB;Erststimme;m;1955 und früher;166441;3725;40132;46259;40864;4352;22802;4447;;3860;2319;
BB;Erststimme;w;Summe;864702;9080;174192;197676;249589;23350;112577;47567;;50671;31782;
BB;Erststimme;w;2001 – 2007;46331;713;4785;9336;11082;1060;12503;3551;;3302;1712;
BB;Erststimme;w;1991 – 2000;68480;481;9116;12298;19906;2025;11179;8630;;4846;2541;
BB;Erststimme;w;1981 – 1990;145353;1594;22857;23032;57924;4241;13060;11736;;10909;5834;
BB;Erststimme;w;1966 – 1980;208184;1633;42079;36516;72991;6136;22520;11664;;14645;10169;
BB;Erststimme;w;1956 – 1965;172493;1550;41776;38203;50901;4646;20785;5846;;8786;5957;
BB;Erststimme;w;1955 und früher;223861;3109;53579;78291;36786;5243;32529;6140;;8184;5568;
BB;Zweitstimme;Summe;Summe;1658681;11343;298048;244010;535275;53467;176224;108598;;231716;23969;176405
BB;Zweitstimme;Summe;2001 – 2007;90369;868;7144;6522;28023;3620;23370;6883;;13939;928;8368
BB;Zweitstimme;Summe;1991 – 2000;132167;746;14597;9679;43285;4713;24581;14084;;20483;2783;11725
BB;Zweitstimme;Summe;1981 – 1990;284155;2225;42180;25285;120074;8731;22909;24240;;38512;4906;24858
BB;Zweitstimme;Summe;1966 – 1980;422849;1503;77794;43988;164989;13932;31125;31991;;57526;8172;41598
BB;Zweitstimme;Summe;1956 – 1965;338838;2264;68638;52658;108318;11339;30337;17286;;48000;3867;41719
BB;Zweitstimme;Summe;1955 und früher;390302;3738;87695;105878;70588;11131;43903;14113;;53256;3314;48136
BB;Zweitstimme;m;Summe;793979;5011;145029;99492;301313;26971;72482;49418;;94265;10353;69595
BB;Zweitstimme;m;2001 – 2007;44038;156;4078;3007;17828;2265;7945;3183;;5576;419;2741
BB;Zweitstimme;m;1991 – 2000;63687;427;8063;4003;24794;2800;10020;6040;;7541;621;4348
BB;Zweitstimme;m;1981 – 1990;138802;1224;21807;10680;64486;4753;9979;10551;;15321;2614;8492
BB;Zweitstimme;m;1966 – 1980;214665;593;38128;19838;95006;6994;14051;15230;;24824;4238;17146
BB;Zweitstimme;m;1956 – 1965;166345;997;34934;22976;61890;6010;13367;8743;;17429;1562;14864
BB;Zweitstimme;m;1955 und früher;166441;1613;38020;38988;37308;4148;17120;5672;;23573;900;22004
BB;Zweitstimme;w;Summe;864702;6332;153019;144518;233962;26496;103742;59180;;137451;13616;106810
BB;Zweitstimme;w;2001 – 2007;46331;712;3067;3514;10195;1354;15424;3701;;8364;509;5627
BB;Zweitstimme;w;1991 – 2000;68480;318;6534;5677;18490;1914;14561;8044;;12941;2162;7377
BB;Zweitstimme;w;1981 – 1990;145353;1000;20374;14605;55587;3978;12929;13689;;23191;2292;16366
BB;Zweitstimme;w;1966 – 1980;208184;910;39666;24150;69983;6938;17074;16761;;32702;3934;24452
BB;Zweitstimme;w;1956 – 1965;172493;1267;33704;29682;46427;5329;16970;8543;;30571;2305;26855
BB;Zweitstimme;w;1955 und früher;223861;2125;49675;66890;33280;6983;26783;8442;;29683;2414;26132
MV;Erststimme;Summe;Summe;1029038;11315;205786;179547;376846;29339;144778;36898;;44529;27571;
MV;Erststimme;Summe;2001 – 2007;57123;250;5113;10432;20341;1866;14218;2715;;2188;1278;
MV;Erststimme;Summe;1991 – 2000;82516;476;9581;13838;27501;2505;17339;7071;;4205;2094;
MV;Erststimme;Summe;1981 – 1990;154418;1491;23772;18814;72910;4173;16745;7788;;8726;5800;
MV;Erststimme;Summe;1966 – 1980;238785;1652;48228;30408;108197;7057;23303;7837;;12102;7408;
MV;Erststimme;Summe;1956 – 1965;229751;2536;50701;38841;86895;6184;29250;5742;;9602;6256;
MV;Erststimme;Summe;1955 und früher;266445;4910;68391;67214;61003;7553;43923;5745;;7705;4735;
MV;Erststimme;m;Summe;493059;4818;96119;73432;214165;12098;60280;16077;;16071;10949;
MV;Erststimme;m;2001 – 2007;28483;178;2939;4177;12975;977;4822;1389;;1026;724;
MV;Erststimme;m;1991 – 2000;40684;282;4916;5958;15411;1361;7835;3262;;1658;1069;
MV;Erststimme;m;1981 – 1990;76745;695;11713;7816;40884;1752;7149;3366;;3370;2436;
MV;Erststimme;m;1966 – 1980;121573;696;24165;13107;62871;2797;9643;3772;;4521;3191;
MV;Erststimme;m;1956 – 1965;111186;1000;23990;15925;50161;2501;11945;2348;;3317;2147;
MV;Erststimme;m;1955 und früher;114390;1967;28396;26449;31864;2709;18886;1939;;2180;1382;
MV;Erststimme;w;Summe;535979;6497;109667;106115;162681;17241;84498;20821;;28458;16622;
MV;Erststimme;w;2001 – 2007;28640;72;2174;6255;7366;889;9396;1326;;1163;554;
MV;Erststimme;w;1991 – 2000;41833;194;4665;7880;12090;1143;9504;3809;;2547;1025;
MV;Erststimme;w;1981 – 1990;77674;796;12059;10998;32026;2421;9596;4422;;5356;3364;
MV;Erststimme;w;1966 – 1980;117212;955;24063;17301;45326;4259;13659;4065;;7582;4218;
MV;Erststimme;w;1956 – 1965;118566;1537;26711;22916;36734;3684;17305;3394;;6285;4110;
MV;Erststimme;w;1955 und früher;152055;2943;39995;40765;29140;4844;25037;3806;;5526;3352;
MV;Zweitstimme;Summe;Summe;1029038;7796;181956;126687;357361;32678;123059;54719;;144782;10814;107872
MV;Zweitstimme;Summe;2001 – 2007;57123;212;3508;3643;19516;1867;15575;5224;;7577;433;4288
MV;Zweitstimme;Summe;1991 – 2000;82516;335;7468;6018;26860;3061;17241;10647;;10885;1049;5834
MV;Zweitstimme;Summe;1981 – 1990;154418;1117;20068;10547;70565;3684;14906;11398;;22133;1929;14064
MV;Zweitstimme;Summe;1966 – 1980;238785;1044;42203;20226;103790;8828;18457;11835;;32401;2968;23928
MV;Zweitstimme;Summe;1956 – 1965;229751;1452;45845;30054;81308;6828;22653;7953;;33658;2356;27484
MV;Zweitstimme;Summe;1955 und früher;266445;3635;62863;56200;55323;8409;34226;7662;;38128;2079;32275
MV;Zweitstimme;m;Summe;493059;3400;86634;51684;205104;15949;47974;25007;;57307;4815;42898
MV;Zweitstimme;m;2001 – 2007;28483;95;2011;1978;12500;1512;4727;2179;;3480;304;1729
MV;Zweitstimme;m;1991 – 2000;40684;200;3837;2849;14912;1899;7299;4956;;4732;538;2488
MV;Zweitstimme;m;1981 – 1990;76745;544;10070;4242;40052;1833;5875;5833;;8295;1017;5022
MV;Zweitstimme;m;1966 – 1980;121573;522;21620;8882;60658;3929;7389;5782;;12790;1549;9353
MV;Zweitstimme;m;1956 – 1965;111186;622;22388;12482;47415;3201;8974;3142;;12962;700;11013
MV;Zweitstimme;m;1955 und früher;114390;1417;26708;21250;29567;3575;13709;3115;;15049;707;13293
MV;Zweitstimme;w;Summe;535979;4396;95322;75003;152257;16729;75085;29712;;87475;5999;64974
MV;Zweitstimme;w;2001 – 2007;28640;117;1497;1664;7016;355;10848;3046;;4097;129;2559
MV;Zweitstimme;w;1991 – 2000;41833;135;3631;3169;11948;1162;9943;5691;;6153;511;3346
MV;Zweitstimme;w;1981 – 1990;77674;573;9998;6305;30513;1851;9031;5565;;13837;911;9042
MV;Zweitstimme;w;1966 – 1980;117212;522;20584;11344;43131;4899;11068;6053;;19611;1419;14574
MV;Zweitstimme;w;1956 – 1965;118566;831;23457;17571;33893;3627;13679;4810;;20697;1657;16471
MV;Zweitstimme;w;1955 und früher;152055;2218;36155;34950;25756;4834;20517;4547;;23079;1373;18982
SN;Erststimme;Summe;Summe;2584777;22002;612826;247349;986060;69629;326830;129025;;191056;71775;79556
SN;Erststimme;Summe;2001 – 2007;161085;1124;18469;14126;54836;5585;45115;10397;;11433;2907;4472
SN;Erststimme;Summe;1991 – 2000;250623;1711;34230;18333;81707;7691;63162;23149;;20640;6507;6456
SN;Erststimme;Summe;1981 – 1990;425987;3091;81755;31445;170489;10777;55896;35845;;36688;13643;11246
SN;Erststimme;Summe;1966 – 1980;611548;4578;140849;42721;280630;15899;50967;30221;;45683;20123;16811
SN;Erststimme;Summe;1956 – 1965;492812;4025;125853;44598;213205;11683;44424;15619;;33406;13539;15788
SN;Erststimme;Summe;1955 und früher;642723;7473;211670;96125;185192;17994;67266;13795;;43207;15057;24782
SN;Erststimme;m;Summe;1257371;9232;285440;105244;546932;33178;137948;61737;;77659;27350;32952
SN;Erststimme;m;2001 – 2007;78622;803;10230;6307;32716;3087;14970;5184;;5325;1311;1922
SN;Erststimme;m;1991 – 2000;127994;881;18673;8622;47004;4566;27852;10952;;9444;3235;2629
SN;Erststimme;m;1981 – 1990;216311;1213;40795;13630;96891;5283;26128;17209;;15161;5322;4713
SN;Erststimme;m;1966 – 1980;316665;1779;71207;19055;160033;8173;21462;16040;;18915;8157;6869
SN;Erststimme;m;1956 – 1965;237730;1504;58144;18965;116716;5048;19046;6667;;11640;4338;5786
SN;Erststimme;m;1955 und früher;280049;3052;86390;38665;93572;7021;28489;5684;;17174;4987;11033
SN;Erststimme;w;Summe;1327406;12770;327386;142105;439128;36451;188882;67288;;113397;44425;46604
SN;Erststimme;w;2001 – 2007;82463;321;8239;7819;22120;2498;30144;5213;;6108;1596;2551
SN;Erststimme;w;1991 – 2000;122629;831;15557;9711;34703;3126;35310;12197;;11195;3271;3826
SN;Erststimme;w;1981 – 1990;209676;1877;40960;17816;73598;5494;29768;18636;;21527;8322;6533
SN;Erststimme;w;1966 – 1980;294882;2799;69641;23666;120598;7726;29505;14181;;26768;11966;9943
SN;Erststimme;w;1956 – 1965;255081;2521;67708;25634;96489;6634;25377;8952;;21766;9200;10003
SN;Erststimme;w;1955 und früher;362675;4421;125281;57460;91620;10973;38777;8110;;26033;10069;13749
SN;Zweitstimme;Summe;Summe;2584777;15205;507247;217144;958401;83436;290462;167269;;345613;40139;232257
SN;Zweitstimme;Summe;2001 – 2007;161085;821;9819;9184;53129;6575;46594;12966;;21996;1428;11746
SN;Zweitstimme;Summe;1991 – 2000;250623;1092;20899;13217;79879;8773;57342;32670;;36750;3737;18059
SN;Zweitstimme;Summe;1981 – 1990;425987;1606;65426;25978;168556;11900;46920;46816;;58786;7552;31985
SN;Zweitstimme;Summe;1966 – 1980;611548;2993;113576;38395;275167;21247;43735;41694;;74741;10886;49115
SN;Zweitstimme;Summe;1956 – 1965;492812;2719;107517;40858;206082;14128;37932;18142;;65434;7980;49187
SN;Zweitstimme;Summe;1955 und früher;642723;5974;190011;89513;175587;20813;57939;14981;;87905;8555;72164
SN;Zweitstimme;m;Summe;1257371;6509;238447;94223;537433;43480;120001;80485;;136792;14624;92701
SN;Zweitstimme;m;2001 – 2007;78622;581;5670;4222;32372;3667;16014;6399;;9696;677;4766
SN;Zweitstimme;m;1991 – 2000;127994;755;11637;6562;47176;6012;23936;16189;;15726;1754;7042
SN;Zweitstimme;m;1981 – 1990;216311;684;32471;12186;97461;6541;21742;22388;;22838;3062;11995
SN;Zweitstimme;m;1966 – 1980;316665;1416;58432;17711;158487;11368;18109;21839;;29304;4204;19164
SN;Zweitstimme;m;1956 – 1965;237730;847;51177;16913;113401;6926;16585;7853;;24029;2541;19116
SN;Zweitstimme;m;1955 und früher;280049;2226;79061;36629;88536;8966;23616;5817;;35199;2384;30619
SN;Zweitstimme;w;Summe;1327406;8696;268800;122921;420968;39956;170461;86784;;208821;25515;139556
SN;Zweitstimme;w;2001 – 2007;82463;240;4149;4962;20757;2908;30580;6566;;12301;751;6980
SN;Zweitstimme;w;1991 – 2000;122629;338;9262;6655;32703;2760;33406;16481;;21024;1983;11018
SN;Zweitstimme;w;1981 – 1990;209676;921;32955;13792;71095;5358;25178;24427;;35948;4490;19990
SN;Zweitstimme;w;1966 – 1980;294882;1577;55143;20683;116680;9879;25627;19856;;45437;6682;29951
SN;Zweitstimme;w;1956 – 1965;255081;1872;56340;23945;92680;7203;21347;10289;;41405;5438;30071
SN;Zweitstimme;w;1955 und früher;362675;3748;110950;52884;87052;11847;34323;9165;;52706;6171;41545
ST;Erststimme;Summe;Summe;1347837;17293;313319;183951;515634;37603;165818;48599;;65620;42363;
ST;Erststimme;Summe;2001 – 2007;73513;757;7899;9488;29685;2576;16875;3383;;2849;1380;
ST;Erststimme;Summe;1991 – 2000;104028;721;12193;13071;43995;2937;17568;7418;;6125;3567;
ST;Erststimme;Summe;1981 – 1990;208602;2067;38227;18792;100675;5473;20134;10840;;12394;8037;
ST;Erststimme;Summe;1966 – 1980;319413;3178;70375;29262;148543;8599;29124;12718;;17613;11580;
ST;Erststimme;Summe;1956 – 1965;291382;3994;72508;40053;112860;7556;34029;6676;;13704;9294;
ST;Erststimme;Summe;1955 und früher;350900;6576;112117;73284;79875;10462;48087;7564;;12935;8505;
ST;Erststimme;m;Summe;658334;7684;144710;79340;291922;16419;69576;22123;;26561;15902;
ST;Erststimme;m;2001 – 2007;37519;401;5087;4095;17584;1488;5453;1662;;1747;945;
ST;Erststimme;m;1991 – 2000;52472;225;6090;5655;25338;1649;7271;3495;;2749;1465;
ST;Erststimme;m;1981 – 1990;106674;970;18443;8738;55960;2362;9018;5775;;5408;3181;
ST;Erststimme;m;1966 – 1980;165977;1359;34955;13193;87028;4104;11663;5564;;8111;4986;
ST;Erststimme;m;1956 – 1965;142818;1805;34754;17121;63686;2940;14768;2974;;4769;3110;
ST;Erststimme;m;1955 und früher;152874;2924;45381;30537;42326;3875;21402;2652;;3776;2216;
ST;Erststimme;w;Summe;689503;9609;168609;104611;223712;21184;96242;26476;;39059;26461;
ST;Erststimme;w;2001 – 2007;35994;356;2812;5393;12101;1088;11421;1721;;1102;436;
ST;Erststimme;w;1991 – 2000;51556;496;6103;7416;18657;1287;10297;3923;;3377;2102;
ST;Erststimme;w;1981 – 1990;101928;1097;19785;10054;44715;3111;11117;5065;;6986;4857;
ST;Erststimme;w;1966 – 1980;153435;1819;35421;16069;61515;4495;17461;7153;;9502;6594;
ST;Erststimme;w;1956 – 1965;148564;2189;37754;22932;49174;4616;19261;3702;;8935;6183;
ST;Erststimme;w;1955 und früher;198026;3652;66735;42747;37550;6586;26685;4912;;9158;6289;
ST;Zweitstimme;Summe;Summe;1347837;10488;256538;146535;496110;41251;143807;59077;;194031;18449;150411
ST;Zweitstimme;Summe;2001 – 2007;73513;691;4883;4048;28525;2049;19842;4170;;9305;310;5600
ST;Zweitstimme;Summe;1991 – 2000;104028;500;8310;5831;42906;3034;19719;9709;;14018;1515;8286
ST;Zweitstimme;Summe;1981 – 1990;208602;1404;28531;11995;99206;5958;17935;14156;;29417;3898;18822
ST;Zweitstimme;Summe;1966 – 1980;319413;1713;55900;24146;144105;10322;24408;14977;;43843;4359;34052
ST;Zweitstimme;Summe;1956 – 1965;291382;2205;61025;34246;106180;8551;25010;7602;;46563;4338;39224
ST;Zweitstimme;Summe;1955 und früher;350900;3975;97889;66270;75188;11336;36894;8463;;50885;4029;44427
ST;Zweitstimme;m;Summe;658334;4570;119764;64390;285211;20014;58988;27213;;78184;6512;59928
ST;Zweitstimme;m;2001 – 2007;37519;390;3208;2464;17276;1234;6445;2165;;4336;200;2326
ST;Zweitstimme;m;1991 – 2000;52472;171;4362;2536;25051;1832;8347;4507;;5666;595;2952
ST;Zweitstimme;m;1981 – 1990;106674;694;14270;5973;55459;3371;7946;7140;;11822;1429;6864
ST;Zweitstimme;m;1966 – 1980;165977;880;27926;10735;86556;5480;9859;6755;;17786;1836;13246
ST;Zweitstimme;m;1956 – 1965;142818;1018;30102;14845;60883;3813;10815;3496;;17846;1581;15391
ST;Zweitstimme;m;1955 und früher;152874;1417;39895;27837;39985;4285;15577;3150;;20727;871;19148
ST;Zweitstimme;w;Summe;689503;5918;136774;82145;210899;21237;84819;31864;;115847;11937;90483
ST;Zweitstimme;w;2001 – 2007;35994;301;1675;1584;11248;815;13397;2005;;4969;110;3274
ST;Zweitstimme;w;1991 – 2000;51556;329;3948;3295;17855;1203;11372;5202;;8352;920;5333
ST;Zweitstimme;w;1981 – 1990;101928;710;14261;6021;43748;2588;9989;7016;;17595;2470;11957
ST;Zweitstimme;w;1966 – 1980;153435;832;27974;13411;57549;4842;14549;8222;;26057;2523;20807
ST;Zweitstimme;w;1956 – 1965;148564;1187;30924;19401;45297;4739;14194;4106;;28717;2756;23833
ST;Zweitstimme;w;1955 und früher;198026;2558;57994;38432;35203;7051;21317;5313;;30158;3159;25279
TH;Erststimme;Summe;Summe;1333474;10248;272827;131842;512070;28121;209947;36822;;131597;25831;96975
TH;Erststimme;Summe;2001 – 2007;75570;568;7521;5940;28480;1968;22024;2990;;6078;671;5016
TH;Erststimme;Summe;1991 – 2000;100723;686;11668;7296;39459;2488;25308;4674;;9143;1964;6624
TH;Erststimme;Summe;1981 – 1990;197396;693;31569;14438;95041;3819;24601;7176;;20060;5243;13764
TH;Erststimme;Summe;1966 – 1980;332385;3095;62871;23547;156710;7364;36665;9848;;32286;8541;21021
TH;Erststimme;Summe;1956 – 1965;285121;1940;64607;27156;110582;5668;38723;5692;;30753;5423;23131
TH;Erststimme;Summe;1955 und früher;342279;3266;94592;53464;81798;6815;62626;6442;;33276;3990;27420
TH;Erststimme;m;Summe;656340;4332;129555;58363;291579;13112;86629;17593;;55178;10961;40181
TH;Erststimme;m;2001 – 2007;37971;237;3872;2913;18644;1248;7227;1307;;2523;291;2012
TH;Erststimme;m;1991 – 2000;51789;417;6072;3446;22134;1317;11776;2442;;4184;1169;2709
TH;Erststimme;m;1981 – 1990;99494;131;14919;6569;52337;1872;11560;3775;;8331;2234;5509
TH;Erststimme;m;1966 – 1980;172780;1589;31867;10708;93391;3348;14810;4664;;12402;3584;7818
TH;Erststimme;m;1956 – 1965;140950;918;31506;11845;61763;2496;16371;2593;;13458;2301;9979
TH;Erststimme;m;1955 und früher;153356;1038;41319;22881;43310;2830;24885;2812;;14281;1383;12155
TH;Erststimme;w;Summe;677134;5916;143272;73479;220491;15009;123318;19229;;76419;14870;56794
TH;Erststimme;w;2001 – 2007;37599;331;3649;3027;9836;720;14798;1682;;3556;380;3004
TH;Erststimme;w;1991 – 2000;48934;269;5596;3850;17325;1170;13532;2232;;4959;795;3915
TH;Erststimme;w;1981 – 1990;97902;561;16650;7869;42704;1947;13041;3402;;11729;3009;8254
TH;Erststimme;w;1966 – 1980;159605;1505;31004;12839;63318;4016;21855;5183;;19885;4957;13203
TH;Erststimme;w;1956 – 1965;144171;1022;33101;15311;48819;3172;22352;3099;;17296;3122;13152
TH;Erststimme;w;1955 und früher;188923;2228;53272;30583;38488;3985;37741;3630;;18995;2607;15265
TH;Zweitstimme;Summe;Summe;1333474;9314;246065;115915;510527;37292;200688;56097;;157576;20621;124760
TH;Zweitstimme;Summe;2001 – 2007;75570;750;4988;4681;28184;2693;21744;4921;;7609;441;5743
TH;Zweitstimme;Summe;1991 – 2000;100723;565;8344;5547;39772;2860;21110;8695;;13829;1758;9894
TH;Zweitstimme;Summe;1981 – 1990;197396;620;27497;11100;95471;5479;21928;11646;;23655;4660;16191
TH;Zweitstimme;Summe;1966 – 1980;332385;2085;55636;20855;157182;10606;34086;14986;;36949;6093;27577
TH;Zweitstimme;Summe;1956 – 1965;285121;1459;59991;23988;110602;7620;39495;8223;;33742;4182;27911
TH;Zweitstimme;Summe;1955 und früher;342279;3834;89609;49744;79317;8035;62325;7625;;41791;3487;37443
TH;Zweitstimme;m;Summe;656340;4158;116449;52388;292104;19037;80167;26781;;65255;8387;50771
TH;Zweitstimme;m;2001 – 2007;37971;367;2616;2821;18147;1800;6507;2328;;3386;237;2196
TH;Zweitstimme;m;1991 – 2000;51789;356;5019;2349;22476;1344;9535;4400;;6310;939;4166
TH;Zweitstimme;m;1981 – 1990;99494;152;13237;4856;53272;2809;9787;5893;;9486;2181;5848
TH;Zweitstimme;m;1966 – 1980;172780;1256;28558;9185;93726;5279;13786;7073;;13918;2411;10178
TH;Zweitstimme;m;1956 – 1965;140950;729;28576;11095;62287;3820;16606;3751;;14086;1602;11698
TH;Zweitstimme;m;1955 und früher;153356;1298;38443;22082;42196;3984;23948;3337;;18069;1016;16685
TH;Zweitstimme;w;Summe;677134;5156;129616;63527;218423;18255;120521;29316;;92321;12234;73989
TH;Zweitstimme;w;2001 – 2007;37599;383;2373;1860;10037;893;15237;2593;;4224;204;3547
TH;Zweitstimme;w;1991 – 2000;48934;210;3324;3199;17295;1515;11575;4295;;7519;819;5728
TH;Zweitstimme;w;1981 – 1990;97902;468;14260;6243;42199;2670;12141;5754;;14169;2479;10343
TH;Zweitstimme;w;1966 – 1980;159605;830;27078;11670;63456;5328;20300;7913;;23031;3682;17399
TH;Zweitstimme;w;1956 – 1965;144171;729;31416;12893;48315;3800;22890;4472;;19657;2580;16214
TH;Zweitstimme;w;1955 und früher;188923;2537;51166;27662;37121;4050;38378;4288;;23722;2471;20758
